Trial05
Date:,2014/06/11
Time:,10:52:45
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
34,393.116791,-12.329698,12.942267,-10.853683,-13.000576,16.329815,389.554260,566.033752,24.569862,-12.286794,564.661865,19.203684,159.703110,456.652161,33.893295,151.162521,613.767029,33.825436,253.244202,463.339996,34.599304,238.156937,622.738159,34.685085
35,393.109680,-12.328815,12.949889,-10.856247,-13.003665,16.319460,389.559357,566.029541,24.568356,-12.276980,564.659851,19.192495,159.701385,456.657806,33.900448,151.165359,613.765564,33.830795,253.252136,463.333130,34.594433,238.160385,622.738708,34.684650
36,393.107544,-12.334698,12.932116,-10.859390,-13.015780,16.329651,389.559784,566.034241,24.570068,-12.296026,564.657776,19.195559,159.654175,456.660706,33.878361,151.170700,613.768005,33.833267,253.244904,463.341644,34.596775,238.159470,622.739929,34.695038
37,393.111450,-12.334429,12.944469,-10.867545,-13.022890,16.320564,389.555756,566.032349,24.571722,-12.275578,564.658997,19.197748,159.653152,456.658936,33.883823,151.168716,613.763611,33.831184,253.238281,463.337921,34.594585,238.163315,622.735291,34.686581
38,393.102509,-12.332693,12.941338,-10.858789,-13.005848,16.319643,389.557678,566.025574,24.570829,-12.289534,564.655396,19.196873,159.642334,456.644684,33.874348,151.162491,613.773193,33.826649,253.248413,463.338562,34.593887,238.158646,622.738953,34.685879
39,393.103394,-12.327703,12.941894,-10.864967,-13.007213,16.321377,389.553833,566.027710,24.570061,-12.274910,564.662537,19.180161,159.645721,456.663788,33.882240,151.166794,613.767517,33.829880,253.261185,463.329254,34.601234,238.156143,622.738220,34.686085
40,393.107025,-12.324596,12.933292,-10.855077,-12.999182,16.321896,389.548279,566.038635,24.571390,-12.264711,564.669495,19.196690,159.661270,456.660187,33.874252,151.171158,613.765442,33.832539,253.295151,463.335419,34.598011,238.153748,622.737549,34.688091
41,393.110199,-12.316483,12.947848,-10.865965,-13.014404,16.315369,389.553619,566.023254,24.572250,-12.282635,564.658569,19.192694,159.657120,456.662201,33.879776,151.211502,613.750061,33.832489,253.324890,463.350250,34.608383,238.159943,622.729858,34.684948
42,393.110138,-12.329618,12.937119,-10.855341,-12.997771,16.316336,389.563477,566.029419,24.568209,-12.270238,564.651184,19.198503,159.657440,456.656860,33.871132,151.182343,613.759399,33.837719,253.329926,463.356995,34.607903,238.159714,622.741699,34.687160
43,393.105194,-12.321566,12.955402,-10.860077,-13.012301,16.316311,389.565033,566.038452,24.570543,-12.275234,564.666931,19.193720,159.698227,456.654480,33.899788,151.171707,613.775146,33.826893,253.445267,463.393433,34.618690,238.166153,622.741577,34.692371
44,393.116364,-12.327730,12.944331,-10.864494,-13.007895,16.323023,389.561188,566.030090,24.573750,-12.272654,564.656006,19.191065,159.654831,456.656097,33.878860,151.169052,613.767395,33.830650,253.551758,463.427673,34.601452,238.160339,622.735229,34.687386
45,393.111053,-12.332475,12.936864,-10.860326,-12.997830,16.314922,389.562683,566.033630,24.569588,-12.280398,564.658691,19.192165,159.696167,456.649200,33.900002,151.161102,613.768982,33.823944,253.542648,463.462646,34.588207,238.163437,622.743835,34.682961
46,393.102386,-12.321205,12.940734,-10.858647,-13.019261,16.320484,389.564117,566.036194,24.571049,-12.281748,564.669189,19.190231,159.701111,456.655212,33.903828,151.167084,613.771729,33.829475,253.688309,463.488495,34.640099,238.156876,622.737488,34.683678
47,393.115051,-12.322116,12.948225,-10.859271,-13.010601,16.314480,389.553650,566.029907,24.572489,-12.292941,564.659973,19.194880,159.660675,456.665253,33.874077,151.157715,613.780884,33.820087,253.735168,463.505371,34.619190,238.151764,622.737000,34.686535
48,393.105164,-12.329215,12.935815,-10.854301,-13.005539,16.320705,389.557129,566.024231,24.575438,-12.286372,564.662659,19.201378,159.651962,456.658905,33.878731,151.164978,613.770142,33.823166,253.126862,463.302002,34.575417,238.149246,622.746216,34.685001
49,393.110626,-12.334616,12.942754,-10.850877,-13.009075,16.318043,389.555847,566.036011,24.571005,-12.281494,564.664001,19.203775,159.697998,456.656311,33.896130,151.167145,613.773743,33.824669,253.091110,463.277344,34.559273,238.162064,622.738342,34.688255
50,393.107208,-12.328835,12.938792,-10.870504,-13.022521,16.322237,389.558075,566.035339,24.569540,-12.285855,564.658020,19.198704,159.651627,456.656799,33.876854,151.166138,613.774048,33.818962,253.118576,463.284302,34.576237,238.163544,622.739319,34.684193
51,393.101257,-12.336137,12.931134,-10.856224,-13.005337,16.320761,389.558929,566.025696,24.564440,-12.280956,564.662659,19.196159,159.662369,456.655762,33.881687,151.166199,613.760132,33.823776,253.098373,463.299438,34.578758,238.163971,622.741333,34.690624
52,393.119446,-12.330785,12.952405,-10.859209,-13.007092,16.323095,389.552185,566.038025,24.567741,-12.278946,564.662781,19.200985,159.662842,456.660431,33.876907,151.159363,613.771851,33.823906,253.113525,463.289825,34.576408,238.159698,622.733398,34.688644
53,393.110077,-12.339316,12.940256,-10.862282,-13.012571,16.320238,389.553589,566.032593,24.573076,-12.272639,564.665771,19.196888,159.648300,456.650238,33.875500,151.155182,613.760315,33.826374,253.108643,463.300446,34.570332,238.159531,622.741028,34.684498
54,393.101166,-12.328336,12.931169,-10.861645,-13.012723,16.321747,389.551056,566.029297,24.569952,-12.270078,564.667908,19.199400,159.657730,456.662201,33.882072,151.166367,613.760193,33.825527,253.113922,463.295990,34.576393,238.154953,622.740540,34.681515
55,393.114197,-12.336279,12.942142,-10.861987,-13.015744,16.318756,389.551056,566.035767,24.574947,-12.262049,564.660645,19.192919,159.650055,456.663147,33.873531,151.167526,613.767761,33.825478,253.105255,463.295105,34.577747,238.148865,622.740662,34.685459
56,393.105652,-12.335609,12.942106,-10.852379,-13.005930,16.317760,389.553955,566.029785,24.573061,-12.280433,564.661499,19.193508,159.698517,456.654694,33.896561,151.162384,613.775085,33.821545,253.121170,463.293091,34.577011,238.162537,622.745483,34.689503
57,393.107025,-12.332012,12.935809,-10.857114,-13.007224,16.317348,389.562439,566.028870,24.569813,-12.265747,564.666748,19.185724,159.664597,456.661102,33.885548,151.160065,613.763611,33.813732,253.150833,463.239594,34.628864,238.161636,622.732361,34.686291
58,393.113007,-12.321996,12.947563,-10.856915,-13.014873,16.318474,389.561340,566.043579,24.568853,-12.268937,564.661987,19.194304,159.700699,456.656464,33.895679,151.164017,613.770386,33.818817,253.118042,463.290131,34.565281,238.160583,622.736572,34.681301
59,393.108002,-12.341234,12.926650,-10.859548,-13.013922,16.321959,389.556000,566.030151,24.572020,-12.281706,564.665771,19.189522,159.702362,456.655945,33.900677,151.163376,613.769104,33.821911,253.109192,463.286896,34.582973,238.159073,622.734070,34.681431
60,393.099335,-12.335264,12.938847,-10.854262,-13.005117,16.317839,389.565430,566.031128,24.573812,-12.287720,564.655640,19.201614,159.707291,456.660248,33.906418,151.165955,613.765686,33.825161,253.118271,463.279266,34.586330,238.156158,622.737305,34.678837
61,393.115112,-12.323141,12.952430,-10.850055,-13.018477,16.321974,389.562622,566.024048,24.570469,-12.267529,564.669556,19.202084,159.695602,456.652618,33.904575,151.161438,613.769104,33.828011,253.106461,463.283295,34.573078,238.161835,622.735168,34.683102
62,393.106903,-12.331899,12.936213,-10.854224,-13.006603,16.325905,389.552673,566.025330,24.573769,-12.280702,564.668457,19.191523,159.701599,456.656586,33.896633,151.170822,613.775940,33.824566,253.107056,463.273834,34.571705,238.170456,622.744751,34.688347
63,393.109344,-12.325999,12.933669,-10.856833,-13.007450,16.316458,389.557037,566.023499,24.573181,-12.281995,564.659912,19.194262,159.654022,456.647491,33.887997,151.155655,613.774719,33.813076,253.105484,463.291077,34.574142,238.191086,622.737610,34.701366
64,393.115204,-12.325724,12.941780,-10.864247,-13.008361,16.313942,389.549927,566.033447,24.570547,-12.286294,564.663696,19.193472,159.658844,456.662140,33.880100,151.153397,613.769226,33.816475,253.154373,463.232391,34.630749,238.185928,622.744995,34.692657
65,393.103851,-12.324121,12.936557,-10.864961,-13.012707,16.323671,389.552307,566.035828,24.573002,-12.281093,564.662903,19.195389,159.655090,456.656891,33.873726,151.149811,613.776428,33.814659,253.149414,463.232147,34.626308,238.206467,622.747253,34.705151
66,393.119354,-12.329595,12.940301,-10.862223,-12.999079,16.319700,389.556854,566.038147,24.572536,-12.287533,564.663513,19.193077,159.656174,456.661865,33.877705,151.153732,613.772156,33.815266,253.159042,463.226288,34.630112,238.259659,622.749817,34.709206
67,393.102051,-12.310616,12.955727,-10.865325,-13.016542,16.321032,389.559479,566.026917,24.572239,-12.283123,564.667480,19.193699,159.643814,456.651886,33.866890,151.156372,613.769287,33.820396,253.151642,463.227203,34.636047,238.349823,622.789795,34.718662
68,393.102203,-12.338648,12.932455,-10.862088,-13.018525,16.325235,389.554901,566.029846,24.572962,-12.289234,564.672058,19.201082,159.652802,456.655029,33.883492,151.160141,613.761169,33.818249,253.157043,463.224335,34.633476,238.352066,622.803223,34.711967
69,393.103943,-12.336573,12.950568,-10.862024,-13.007215,16.324919,389.552063,566.026611,24.567991,-12.279797,564.660706,19.201847,159.640839,456.651428,33.877743,151.160568,613.767639,33.819763,253.158951,463.227692,34.629536,238.587738,622.864441,34.733891
70,393.111206,-12.331801,12.940958,-10.861736,-13.004945,16.326576,389.554871,566.031799,24.571987,-12.278068,564.660400,19.199223,159.660355,456.659821,33.881191,151.162857,613.768677,33.819038,253.163223,463.233795,34.624657,239.101669,623.027222,34.800045
71,393.109558,-12.336509,12.945843,-10.860086,-13.000371,16.317236,389.560822,566.026428,24.570183,-12.272477,564.670898,19.194050,159.662582,456.667999,33.882099,151.160416,613.775330,33.816666,253.155075,463.231232,34.633015,239.188202,623.125549,34.731777
72,393.110413,-12.336068,12.949087,-10.853906,-13.004976,16.323217,389.564484,566.035583,24.571308,-12.277943,564.654297,19.196133,159.658356,456.662537,33.880360,151.158051,613.776245,33.818031,253.112701,463.282928,34.570267,239.314255,623.122925,34.791378
73,393.104706,-12.340288,12.940651,-10.859920,-13.006824,16.320377,389.566528,566.032166,24.573036,-12.267778,564.665771,19.195873,159.667023,456.668304,33.889900,151.158234,613.769470,33.817154,253.148926,463.230194,34.622192,238.469589,622.836792,34.716347
74,393.114471,-12.337351,12.941422,-10.853126,-13.018258,16.320124,389.554840,566.030090,24.577732,-12.270290,564.665283,19.199499,159.667969,456.667755,33.888966,151.165024,613.780579,33.821388,253.100494,463.276459,34.566311,238.435410,622.837708,34.711391
75,393.110565,-12.332438,12.942947,-10.864293,-13.023513,16.322525,389.556671,566.022400,24.565228,-12.288098,564.668335,19.187433,159.655334,456.656921,33.873867,151.154999,613.771729,33.809196,253.098816,463.271423,34.572861,238.444580,622.827454,34.712322
76,393.102844,-12.331758,12.931196,-10.859794,-13.015169,16.323772,389.558624,566.027771,24.569754,-12.279083,564.656921,19.194595,159.650620,456.652344,33.879128,151.157425,613.776367,33.813026,253.153717,463.223267,34.621502,238.438446,622.819092,34.710941
77,393.101898,-12.331504,12.953910,-10.874631,-13.027718,16.327736,389.557648,566.022217,24.568684,-12.277896,564.661865,19.187069,159.654312,456.658508,33.876137,151.158203,613.768799,33.814846,253.158035,463.223633,34.622940,238.440384,622.832031,34.708076
78,393.102631,-12.329000,12.931211,-10.858994,-13.011354,16.324127,389.548828,566.026062,24.564840,-12.276629,564.661865,19.194660,159.657364,456.660553,33.874676,151.156158,613.765015,33.810398,253.154358,463.221924,34.628681,238.442352,622.826233,34.709957
79,393.106842,-12.330569,12.943652,-10.856761,-13.005331,16.331007,389.555237,566.027832,24.569468,-12.263423,564.668213,19.183903,159.657578,456.655914,33.876560,151.158081,613.763794,33.812210,253.163254,463.227539,34.635265,238.441956,622.837708,34.708271
80,393.099396,-12.318624,12.956017,-10.866449,-13.014156,16.328976,389.557220,566.030701,24.569374,-12.271974,564.670654,19.182634,159.658325,456.660614,33.883389,151.153839,613.769836,33.815056,253.146866,463.218750,34.627277,238.442154,622.829956,34.707890
81,393.105316,-12.331125,12.934098,-10.868795,-13.005444,16.316111,389.554840,566.031921,24.574427,-12.286199,564.666931,19.191956,159.658325,456.657471,33.883881,151.164703,613.763550,33.822609,253.164139,463.218475,34.628723,238.443436,622.835266,34.708553
82,393.105011,-12.329441,12.939032,-10.856263,-12.994933,16.321192,389.559418,566.030518,24.570528,-12.272683,564.665100,19.194748,159.657379,456.665009,33.877857,151.156570,613.768372,33.817459,253.159882,463.233856,34.637379,238.432495,622.833313,34.708675
83,393.100403,-12.329773,12.942888,-10.861388,-13.002225,16.322567,389.555756,566.035583,24.575857,-12.283836,564.660095,19.199389,159.658813,456.664093,33.876324,151.154938,613.772034,33.813831,253.100876,463.287048,34.574791,238.447281,622.832764,34.709049
84,393.105927,-12.324962,12.937277,-10.856644,-12.992535,16.322821,389.551056,566.039246,24.571423,-12.278073,564.660645,19.190075,159.657410,456.659729,33.880009,151.149384,613.781372,33.809296,253.148178,463.225403,34.630966,238.441559,622.827820,34.706902
