Trial07
Date:,2014/06/11
Time:,10:59:01
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,393.081451,-12.304035,12.880204,-10.691336,-12.910598,16.178780,389.709320,566.055542,24.660702,-12.365625,564.502747,19.255264,137.267380,483.671661,33.812054,142.119415,640.940918,33.934914,230.891449,481.980103,34.655979,230.025284,642.312012,34.559963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,393.077911,-12.306014,12.880082,-10.695537,-12.905668,16.185165,389.695251,566.054199,24.655344,-12.369594,564.502747,19.247166,137.259033,483.672913,33.803688,142.121063,640.937317,33.924370,230.833450,481.983673,34.721306,230.022705,642.305115,34.553944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,393.070038,-12.303905,12.877388,-10.697051,-12.909552,16.179447,389.696625,566.050232,24.653158,-12.375024,564.498291,19.251671,137.261002,483.671509,33.811756,142.127151,640.935791,33.931553,230.838882,481.979309,34.719303,230.012482,642.306946,34.553589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,393.081696,-12.308814,12.883283,-10.697568,-12.913923,16.176046,389.695526,566.056519,24.651041,-12.372105,564.488892,19.253431,137.255722,483.662506,33.801331,142.123444,640.941345,33.931248,230.858765,481.981293,34.652550,230.028305,642.302551,34.555782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,393.071838,-12.303390,12.878119,-10.699549,-12.912222,16.176031,389.689301,566.033020,24.660002,-12.367679,564.483704,19.256525,137.258057,483.668854,33.807220,142.121017,640.945007,33.929047,230.876083,481.967957,34.646252,230.011795,642.309021,34.553219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,393.074036,-12.309071,12.877256,-10.696313,-12.914622,16.173170,389.696289,566.031433,24.660351,-12.362854,564.488037,19.253286,137.262726,483.667542,33.819042,142.122940,640.941284,33.931683,230.866455,481.967133,34.651608,230.010376,642.313477,34.560745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,393.082672,-12.308547,12.884988,-10.696368,-12.917223,16.176338,389.698090,566.030212,24.658812,-12.368249,564.490112,19.255301,137.263306,483.668793,33.814175,142.122650,640.939575,33.927212,230.878647,481.965485,34.647923,230.023331,642.312256,34.555515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,393.077606,-12.312698,12.877433,-10.689498,-12.911120,16.179829,389.704468,566.037415,24.652935,-12.357677,564.499573,19.256325,137.264816,483.668915,33.816277,142.120102,640.939148,33.927879,230.833023,481.980499,34.717861,230.026199,642.301880,34.548767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,393.089386,-12.317849,12.889220,-10.690427,-12.915200,16.173592,389.701904,566.053101,24.651545,-12.358994,564.506958,19.261333,137.268127,483.671265,33.815456,142.129135,640.939148,33.931046,230.883484,481.975311,34.653008,230.028198,642.318542,34.556805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,393.074677,-12.304852,12.870261,-10.681855,-12.899133,16.182951,389.705048,566.040894,24.659678,-12.359790,564.500549,19.253378,137.268967,483.671906,33.809017,142.132462,640.931702,33.926254,230.834702,481.984100,34.716267,230.038406,642.313293,34.551849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
