Trial09
Date:,2014/06/11
Time:,11:03:21
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
61,393.210114,-12.100181,14.609073,-10.607677,-13.086987,15.674430,389.838226,566.480042,24.301834,-12.437576,564.512878,19.229340,,,,125.522469,651.769897,32.706059,232.833801,504.796265,34.663303,212.297180,663.744812,33.629089,,,,,,,,,,,,,,,
62,393.206085,-12.060676,14.535741,-10.593459,-13.082660,15.681271,389.824310,566.467957,24.306154,-12.441587,564.511902,19.219475,,,,125.512993,651.756531,32.709675,232.837326,504.790802,34.660931,212.291702,663.755920,33.632820,,,,,,,,,,,,,,,
63,393.207672,-12.087283,14.610329,-10.596495,-13.088597,15.686518,389.823059,566.470215,24.310722,-12.440092,564.507080,19.223692,,,,125.514961,651.759338,32.710155,232.829132,504.789368,34.660336,212.296646,663.759583,33.630928,,,,,,,,,,,,,,,
64,393.210632,-12.099278,14.614927,-10.592174,-13.089019,15.690225,389.833954,566.471069,24.319904,-12.439099,564.515808,19.224670,,,,125.513733,651.769897,32.710434,232.833252,504.793701,34.660770,212.298065,663.758606,33.633488,,,,,,,,,,,,,,,
65,393.248016,-12.064037,14.524833,-10.598128,-13.089769,15.693975,389.826996,566.463623,24.304399,-12.431329,564.514526,19.218292,,,,125.508293,651.766846,32.707054,232.823975,504.780396,34.657162,212.293961,663.749512,33.626484,,,,,,,,,,,,,,,
66,393.199127,-12.061646,14.531058,-10.592319,-13.085317,15.682170,389.833862,566.482788,24.312494,-12.431416,564.532837,19.231201,,,,125.512810,651.770935,32.703991,232.834900,504.802185,34.654461,212.298370,663.746643,33.626842,,,,,,,,,,,,,,,
67,393.245697,-12.060134,14.526237,-10.601799,-13.089396,15.688052,389.820770,566.464355,24.315052,-12.440631,564.524841,19.227940,,,,125.510086,651.772827,32.703236,232.834091,504.796997,34.654049,212.299988,663.753113,33.629417,,,,,,,,,,,,,,,
68,393.243195,-12.053738,14.521198,-10.601718,-13.086989,15.682495,389.822510,566.462891,24.312502,-12.440974,564.522217,19.226696,,,,125.511734,651.769226,32.710281,232.832886,504.789673,34.653690,212.294113,663.751709,33.627384,,,,,,,,,,,,,,,
69,393.163147,-12.091267,14.616978,-10.615344,-13.091783,15.684854,389.836670,566.461487,24.317587,-12.436679,564.500732,19.215422,,,,125.504097,651.774780,32.696289,232.823547,504.798950,34.652363,212.294952,663.750854,33.633427,,,,,,,,,,,,,,,
70,393.195007,-12.063967,14.536025,-10.609929,-13.091693,15.683029,389.816376,566.453613,24.304911,-12.435797,564.510437,19.221895,,,,125.513992,651.767883,32.703503,232.812286,504.794739,34.654999,212.297363,663.747498,33.626659,,,,,,,,,,,,,,,
